song,artist,genre,mood,year,popularity
Happy,Pharrell Williams,Pop,Happy,2013,95
Uptown Funk,Bruno Mars,Funk,Party,2014,98
Can't Stop The Feeling,Justin Timberlake,Pop,Happy,2016,92
Shape of You,Ed Sheeran,Pop,Romantic,2017,99
Someone Like You,Adele,Ballad,Sad,2011,94
Fix You,Coldplay,Alternative,Emotional,2005,93
Let Her Go,Passenger,Folk,Melancholic,2012,91
Photograph,Ed Sheeran,Pop,Nostalgic,2014,90
Perfect,Ed Sheeran,Pop,Romantic,2017,96
Memories,Maroon 5,Pop,Nostalgic,2019,88
Faded,Alan Walker,Electronic,Chill,2015,89
Closer,Chainsmokers,Electronic,Chill,2016,93
Believer,Imagine Dragons,Rock,Energetic,2017,97
Thunder,Imagine Dragons,Rock,Energetic,2017,94
Hall Of Fame,The Script,Pop,Inspirational,2012,92
Stronger,Kanye West,Hip Hop,Motivational,2007,88
Blinding Lights,The Weeknd,R&B,Party,2019,99
Levitating,Dua Lipa,Disco,Party,2020,96
Animals,Martin Garrix,Electronic,Party,2013,87
Titanium,David Guetta,Electronic,Empowering,2011,91
Dance Monkey,Tones And I,Pop,Dance,2019,95
Circles,Post Malone,R&B,Chill,2019,91
Watermelon Sugar,Harry Styles,Pop,Happy,2019,98
Bad Guy,Billie Eilish,Pop,Dark,2019,94
Old Town Road,Lil Nas X,Country,Fun,2019,97
Yellow,Coldplay,Rock,Romantic,2000,92
Rolling in the Deep,Adele,Soul,Dramatic,2010,98
Shake It Off,Taylor Swift,Pop,Happy,2014,96
Hello,Adele,Ballad,Emotional,2015,95
Roar,Katy Perry,Pop,Empowering,2013,94
Firework,Katy Perry,Pop,Inspirational,2010,93
Counting Stars,OneRepublic,Pop,Energetic,2013,91
Cheap Thrills,Sia,Pop,Dance,2016,90
Royals,Lorde,Electropop,Chill,2013,89
Chandelier,Sia,Pop,Powerful,2014,92
Havana,Camila Cabello,Latin Pop,Party,2017,94
Señorita,Shawn Mendes & Camila Cabello,Pop,Romantic,2019,93
Sunflower,Post Malone,Hip Hop,Chill,2018,92
Bad Romance,Lady Gaga,Pop,Dramatic,2009,95
Viva La Vida,Coldplay,Alternative,Epic,2008,94
Paradise,Coldplay,Alternative,Uplifting,2011,90
All Of Me,John Legend,R&B,Romantic,2013,92
Stay With Me,Sam Smith,Soul,Melancholic,2014,90
Somebody That I Used To Know,Gotye,Indie,Sad,2011,89
Sugar,Maroon 5,Pop,Fun,2015,91
Wake Me Up,Avicii,EDM,Energetic,2013,95
See You Again,Wiz Khalifa,Hip Hop,Nostalgic,2015,94
Eternal Flame,The Bangles,Pop,Romantic,1988,88
I Gotta Feeling,Black Eyed Peas,Pop,Party,2009,93
Adventure of a Lifetime,Coldplay,Pop,Uplifting,2015,90
